ID,Name,Surname,PhoneNumber,email,Salary,Position
1,Sonya,Kaleeva,79839373372,333333@mail.ru,80000,Methodist
2,Lana,Ivanov,79886382709,5555555@gmail.com,120000,German teacher
3,Lina,Zinchenko,79322368236,44444444@gmail.com,70000,English teacher
4,Roma,Kaleeva,79924389998,666666666@mail.ru,70000,German teacher
5,Pasha,Kaleeva,79813484239,5555555@gmail.com,130000,Spanish teacher
6,Pasha,Petrenko,79930409092,5555555@gmail.com,100000,English teacher
7,Pasha,Kaleeva,79957918323,11111@gmail.com,110000,teacher of history
8,Denis,Zinchenko,79923595628,11111@gmail.com,110000,Spanish teacher
9,Pasha,Vitek,79375390224,88888888@mail.ru,60000,teacher of history
10,Denis,Kaleeva,79562636346,44444444@gmail.com,60000,English teacher
11,Natasha,Nebozenko,79222697214,5555555@gmail.com,60000,Spanish teacher
12,Lina,Ivanov,79723951726,77777777@mail.ru,140000,Spanish teacher
13,Igor,Zinchenko,79120468296,77777777@mail.ru,130000,German teacher
14,Igor,Morozov,79930022012,666666666@mail.ru,70000,teacher of math
15,Dima,Usenko,79503079006,44444444@gmail.com,60000,Spanish teacher
16,Pasha,Nebozenko,79617647883,2222222@yandex.ru,60000,English teacher
17,Denis,Fomenko,79891576134,5555555@gmail.com,80000,Methodist
18,Natasha,Petrenko,79367097137,2222222@yandex.ru,100000,Spanish teacher
19,Denis,Kushnir,79429874745,99999999@yandex.ru,140000,Spanish teacher
20,Anna,Kaleeva,79141600497,44444444@gmail.com,130000,teacher of history
21,Anna,Nebozenko,79210071288,5555555@gmail.com,120000,teacher of history
22,Sonya,Ivanov,79821659244,77777777@mail.ru,130000,Spanish teacher
23,Lina,Zinchenko,79366207579,333333@mail.ru,90000,Spanish teacher
24,Dima,Vitek,79988391135,99999999@yandex.ru,130000,Spanish teacher
25,Kate,Kushnir,79524844511,88888888@mail.ru,90000,Spanish teacher
